Quarter,U.S. - ALABAMA,U.S. - ALASKA,U.S. - ARIZONA,U.S. - ARKANSAS,U.S. - CALIFORNIA,U.S. - COLORADO,U.S. - CONNECTICUT,U.S. - DELAWARE,U.S. - DISTRICT OF COLUMBIA,U.S. - FLORIDA,U.S. - GEORGIA,U.S. - HAWAII,U.S. - IDAHO,U.S. - ILLINOIS,U.S. - INDIANA,U.S. - IOWA,U.S. - KANSAS,U.S. - KENTUCKY,U.S. - LOUISIANA,U.S. - MAINE,U.S. - MARYLAND,U.S. - MASSACHUSETTS,U.S. - MICHIGAN,U.S. - MINNESOTA,U.S. - MISSISSIPPI,U.S. - MISSOURI,U.S. - MONTANA,U.S. - NEBRASKA,U.S. - NEVADA,U.S. - NEW HAMPSHIRE,U.S. - NEW JERSEY,U.S. - NEW MEXICO,U.S. - NEW YORK,U.S. - NORTH CAROLINA,U.S. - NORTH DAKOTA,U.S. - OHIO,U.S. - OKLAHOMA,U.S. - OREGON,U.S. - PENNSYLVANIA,U.S. - RHODE ISLAND,U.S. - SOUTH CAROLINA,U.S. - SOUTH DAKOTA,U.S. - TENNESSEE,U.S. - TEXAS,U.S. - UTAH,U.S. - VERMONT,U.S. - VIRGINIA,U.S. - WASHINGTON,U.S. - WEST VIRGINIA,U.S. - WISCONSIN,U.S. - WYOMING
Q2 13,7097.8441,5660.4195,7019.913,4543.359,8608.8634,7773.9166,9987.1871,10795.0751,11260.5694,7957.013,6541.8807,6363.2013,5650.6611,7823.1148,7819.8424,6977.0899,4308.0831,6515.5746,5863.7625,7091.5145,7151.8788,11180.5503,8874.9107,8367.3354,5875.1843,6315.8464,6160.7784,7316.8876,7650.3117,10701.1474,9002.4254,6208.3161,9755.6639,8936.8103,9791.5414,9331.1056,6938.7968,9002.0181,9480.6099,9939.8994,8144.8454,8492.0931,7986.6484,7729.3417,10288.4297,8980.0618,10959.0062,10067.0091,6097.237,8341.4988,7073.1769
Q3 13,8119.5297,6482.4947,9038.6391,6398.4105,10316.2021,9383.9349,11064.1365,12722.2188,12019.2284,9511.6226,8011.5857,7791.8045,7063.414,9224.7456,9204.2717,8354.5678,6729.0689,7136.3834,7543.6602,8442.6728,9504.9301,12842.2893,10480.1652,10085.9075,7018.3926,7892.5588,7030.3353,8600.8758,10149.8792,11936.5836,10938.8432,7523.1399,11263.2234,9484.461,10598.1119,7470.2316,8016.7484,10766.5112,10811.1406,11814.5704,9090.5596,9941.0752,9444.4571,9070.2075,11550.7329,9368.2413,12680.9172,11387.3111,7155.5667,10547.5383,7651.2521
Q4 13,8107.0541,6459.8289,8630.7924,6705.9534,10458.5372,9193.4678,10950.0623,12335.8816,12217.7456,9682.4989,8886.2741,8113.3065,7066.8966,8706.785,9947.9485,8366.9834,7995.7208,6901.9456,7877.5317,8088.395,10927.1263,12755.4359,10476.9755,10156.9997,7066.6589,7175.1901,6700.2432,8597.6227,8706.9778,11840.6514,11004.0804,7498.8553,11118.9971,9253.9116,10262.173,8007.3511,8195.1824,11096.9002,10618.78,11708.9581,9219.0569,9625.6317,9244.2869,8802.9153,11397.1737,9688.684,14357.0327,11490.6676,7104.6593,10571.2651,7362.5553
Q1 14,8933.9463,6966.2769,8722.5999,7270.7601,10888.0326,9739.3529,11741.9333,13109.9728,12831.0954,10105.7512,10741.8606,8402.8424,7736.131,9205.9197,10683.7821,8779.5773,8568.1749,7304.7381,7724.2244,8722.9654,11327.7428,13082.9156,11806.7331,11053.9281,7585.2999,7720.4183,7308.8272,9465.791,10143.3186,12319.6781,11220.5255,7642.0455,11504.4543,9695.3867,11721.0238,11237.7056,8856.3867,11670.1592,11285.2609,12949.3632,9706.6641,10750.3062,9927.2186,9361.7521,12085.8375,10239.1698,13743.0941,12468.1568,7537.2845,11540.4939,7977.1786
Q2 14,9464.3163,7304.8827,9468.243,7389.4226,11393.5694,10608.4675,12449.2123,15982.3172,13320.4998,10624.042,9614.6341,9072.6229,8066.9445,9748.78,10921.2287,8615.1301,8939.8294,7610.2581,8416.0949,8931.317,11757.583,13961.5629,12230.5538,11125.7355,8050.5881,9084.4001,8607.2388,9695.1014,10075.2518,12652.5805,11887.7117,7993.7467,12221.2052,10543.3794,12820.9514,14547.3751,9352.7844,11129.4846,11911.501,12745.6069,10110.8149,11380.7867,10597.9461,10138.9639,12876.8412,10581.327,12763.8266,15360.9325,8205.2691,12039.9389,8988.5692
Q3 14,9993.8129,7246.0038,10045.4285,7755.8412,12024.3114,10689.9156,15262.0142,17393.6946,14559.1801,10824.7422,12131.0401,9004.9204,8691.6719,9965.4075,11821.3045,9077.4355,9217.2174,7464.0781,8372.2207,9030.7088,12288.221,14406.2649,12705.8489,11712.3805,8399.7212,9269.6423,8841.3321,10367.6486,10742.6527,12513.0887,13233.7113,8288.593,12312.738,10456.0291,12182.3535,13227.65,9989.4669,12618.8628,12135.2363,13459.279,10735.4728,11501.233,10951.7463,10445.402,14798.5852,11291.241,9230.5774,16909.7789,8430.5156,12173.0043,8953.4683
Q4 14,10071.5448,7436.4993,10316.7152,7942.1714,12489.3794,10485.4374,12477.7797,16419.3667,14417.2989,11431.27,10742.3469,9062.8957,8697.9621,10633.2834,11622.4842,9667.137,9503.671,7831.9826,8702.2736,9446.9814,12014.3032,14196.2287,12474.2897,11357.5894,8357.0013,9829.3594,9050.5824,10645.5014,10895.1037,12483.5167,12193.6697,7932.7316,12634.0754,10475.0386,12736.8783,6325.5237,9702.4725,12911.9459,12214.7105,14097.4047,10445.3067,11732.9434,11071.8747,10661.781,13938.2002,10674.0658,17712.1247,10071.7009,8293.2905,12300.7806,9796.6562
Q1 15,10576.5734,8137.7539,11189.495,8266.7208,13627.7229,11369.9384,13704.7637,25092.795,16120.7535,12045.1837,11666.5954,9142.7452,9252.9733,12015.5404,12545.4912,11313.6555,10797.7368,8541.1339,9909.2971,10312.2469,13171.5283,15392.9039,13980.3269,12700.5899,9155.0735,10744.738,9915.7566,12210.4896,12480.9149,13534.0568,13354.9202,8736.4214,13429.4984,11219.8891,13940.4202,5293.2299,10799.5539,13879.593,13171.4603,15377.096,10976.9976,12668.5954,11446.4898,12091.2204,15655.7737,11798.2891,16699.5492,11494.179,9279.7557,14036.7284,10991.7172
Q2 15,10498.3368,7818.6029,11979.2428,8541.2011,13963.0342,11566.9227,13066.81,27639.0487,16487.192,12233.5663,11927.5578,10197.8709,9044.9966,12259.9328,12844.9252,10732.375,10679.0769,8421.4557,9819.5163,9381.4841,13560.175,15317.6885,13693.484,12570.0853,9060.6555,12018.084,10374.876,11883.3394,12360.7676,13057.3175,13856.78,9171.8492,13916.7822,11197.733,13918.1366,4967.4003,10924.8788,13824.4875,13253.3331,15312.4034,10916.8838,12533.6835,12276.8591,12429.2064,15085.3129,11309.6708,15447.3225,12990.0708,9351.0424,13307.7694,10404.7833
Q3 15,10921.0697,8474.8284,12237.0657,9528.2212,13918.3749,12019.4782,13927.3234,18480.1227,19481.9395,12668.1066,12712.4192,10986.5104,9404.6603,12950.517,13157.7471,10597.5929,11160.4301,8697.6373,10497.6245,10438.0487,15026.7459,16228.9618,14464.0538,12928.448,9779.0177,12365.924,10321.1186,12289.5189,13360.0936,13603.5328,15002.4499,9600.1459,14834.9899,11619.9547,13025.0711,6030.54,11107.8263,12880.8932,13870.5316,15698.8319,11342.3595,11859.0551,12541.014,12789.1743,16238.7915,12471.0129,14896.3124,15172.3101,9614.2109,13708.4851,10744.4527
Q4 15,12548.578,9769.7554,13662.9875,10743.8953,15264.785,13577.6613,15870.9821,20430.0594,21291.2214,14012.7278,13983.8758,12675.8392,10836.5224,14422.1718,14386.2263,11460.218,12485.5942,9815.2885,11674.4306,12223.5121,17631.3368,18574.8733,16211.3818,14936.977,10848.0948,13770.3797,11912.825,13684.4958,14615.9894,15018.1467,17261.4368,10802.5123,16767.2843,13305.3879,15596.1694,7158.9379,12476.1269,14916.3095,15920.146,19078.6431,12676.1709,14143.5454,14231.021,13948.2075,17879.1037,14931.791,17179.5637,16710.4398,11286.9027,15234.3028,12278.2892
Q1 16,13167.1888,10905.3527,14841.7325,11267.4196,16444.3638,14340.5173,16891.1645,21163.0215,23966.4197,14777.1177,14642.7731,13094.9181,10903.5437,15230.3931,15545.1709,12552.5674,13242.3848,10880.9688,12059.6489,13133.8527,18414.1139,19890.1482,16838.7323,15791.4572,11061.3122,13950.381,12551.9699,13862.9217,15433.1408,16170.3307,18516.0246,11404.9378,18033.4571,14011.9776,16433.582,9038.0502,13330.0413,16061.9654,16997.3625,19958.0049,13363.8575,15113.4304,14935.733,14727.6323,19686.3164,15618.3974,17987.1534,17367.0196,11537.4358,15270.7041,13538.7136
Q2 16,13316.0173,11207.7842,14074.6508,10880.734,16133.5524,14152.9741,15761.149,19516.5548,24324.7461,15187.4193,14701.7917,12741.9133,10407.1501,14999.5733,14848.2295,12475.2223,12962.2195,10750.0466,12197.4486,11641.0295,18610.6081,19016.1953,16149.5859,14693.1899,10813.7603,14101.5699,12642.8019,13933.6841,15334.3432,15399.6737,18395.3914,12367.326,17786.9588,14005.4916,15789.3283,11027.2697,13740.4124,15755.9798,16464.0243,19606.8201,13478.6331,14533.739,15093.7227,14688.661,18868.3905,15176.7371,17977.7209,17237.0906,11448.4404,13973.2416,13769.6932
Q3 16,13177.0613,10991.6592,14284.1788,10875.3629,16197.5513,14307.1606,15734.0469,19570.1162,22468.737,14907.7046,14591.3153,12504.0199,10646.566,14892.9495,15103.5063,12410.8614,12801.2577,10705.4743,12367.021,11322.3364,18579.5942,19391.7161,15988.05,14628.8323,10686.4073,13723.3998,12794.8116,13740.1071,14857.7164,15425.6408,18111.2565,12325.0439,17818.496,14134.8421,15773.073,10986.5772,13985.4715,15188.2506,16348.1646,19365.3471,13423.3595,13863.4731,14998.6343,14539.0101,18446.6913,15296.9224,17872.9992,16844.5563,11160.0363,14101.6879,12869.0542
Q4 16,15016.3652,13096.5618,17188.7729,12178.4288,18810.6464,14179.3197,17556.6987,22362.1165,26676.3873,16976.3347,16720.6467,15055.1027,11935.3488,15679.0874,16203.5715,13574.6886,14593.6567,12330.2938,13724.5457,13724.188,20206.914,21701.9928,17623.5364,16210.7621,12035.8414,15316.5165,13987.5586,14841.6895,17634.1973,17313.5166,20357.5501,12428.8098,20649.5787,16108.3876,17145.8318,14295.4772,14784.2031,17031.4904,18666.547,22390.5467,15137.9384,16594.9849,15805.1301,15967.1872,19831.2027,16900.8641,18609.0905,18617.5158,12480.5267,16221.2928,13615.1793
Q1 17,16056.1606,14309.9664,18531.9385,12923.6255,20105.834,15408.1841,19542.565,25161.5113,28069.6098,18185.8693,17937.0453,15618.3638,11980.8688,18580.7362,18130.7665,15257.2746,16450.6192,13769.1537,14944.6426,14829.9358,22276.2222,23784.0541,19190.5471,17609.2446,12860.2696,16693.6393,15469.3143,16098.0324,18699.4648,19380.8241,22167.0622,12436.5213,22048.4966,17468.4667,17955.5779,15718.6396,16020.8464,18791.2729,20774.1188,23668.1836,15848.9825,17075.5508,17040.4559,17872.9402,20650.4698,17913.7366,21126.2587,20005.208,13928.2204,16880.8793,15053.0421
